127.0.0.1 - - [13/Sep/2024:16:05:44 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [13/Sep/2024:16:05:46 +0530] "GET /sm1/ HTTP/1.1" 200 54856
0:0:0:0:0:0:0:1 - - [13/Sep/2024:16:05:50 +0530] "GET /sm1/login-sm HTTP/1.1" 200 4176
0:0:0:0:0:0:0:1 - - [13/Sep/2024:16:06:00 +0530] "POST /sm1/validate-student HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:16:06:00 +0530] "GET /sm1/student-coursce HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:16:06:00 +0530] "GET /sm1/ HTTP/1.1" 200 54865
0:0:0:0:0:0:0:1 - - [13/Sep/2024:16:06:10 +0530] "GET /sm1/Doubt-post-section HTTP/1.1" 200 1385
0:0:0:0:0:0:0:1 - - [13/Sep/2024:16:06:22 +0530] "GET /sm1/logout-student HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:16:06:22 +0530] "GET /sm1/login-sm HTTP/1.1" 200 4259
0:0:0:0:0:0:0:1 - - [13/Sep/2024:16:07:11 +0530] "POST /sm1/validate-student HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:16:07:11 +0530] "GET /sm1/student-coursce HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2024:16:07:11 +0530] "GET /sm1/ HTTP/1.1" 200 54865
0:0:0:0:0:0:0:1 - - [13/Sep/2024:16:07:23 +0530] "GET /sm1/Doubt-post-section HTTP/1.1" 200 1385
